"","Sensitivity","Specificity","Precision","F1_Score","MCC"
"1","0.41 (0.05)","0.998 (0.006)","0.956 (0.117)","0.573 (0.07)","0.601 (0.083)"
"2","0.333 (0.139)","0.988 (0.017)","0.778 (0.325)","0.467 (0.195)","0.475 (0.231)"
"3","0.448 (0.151)","0.975 (0.021)","0.7 (0.251)","0.544 (0.186)","0.518 (0.211)"
"4","0.762 (0.139)","0.988 (0.017)","0.889 (0.163)","0.821 (0.15)","0.803 (0.168)"
"5","0.343 (0.072)","0.989 (0.009)","0.8 (0.169)","0.48 (0.101)","0.491 (0.12)"
"6","0.19 (0.192)","0.967 (0.021)","0.4 (0.397)","0.257 (0.257)","0.22 (0.296)"
"7","0.438 (0.148)","0.975 (0.019)","0.691 (0.235)","0.534 (0.176)","0.507 (0.199)"
"8","0.762 (0.139)","0.988 (0.017)","0.889 (0.163)","0.821 (0.15)","0.803 (0.168)"
"9","0.343 (0.072)","0.989 (0.009)","0.8 (0.169)","0.48 (0.101)","0.491 (0.12)"
"10","0.305 (0.106)","0.985 (0.013)","0.711 (0.248)","0.427 (0.149)","0.428 (0.176)"
"11","0.476 (0.129)","0.978 (0.018)","0.733 (0.219)","0.576 (0.159)","0.551 (0.181)"
"12","0.743 (0.145)","0.986 (0.018)","0.867 (0.169)","0.8 (0.156)","0.78 (0.174)"
"13","0.154 (0.158)","0.96 (0.026)","0.357 (0.368)","0.215 (0.221)","0.173 (0.265)"
"14","0.351 (0.224)","0.955 (0.025)","0.478 (0.309)","0.403 (0.257)","0.35 (0.285)"
"15","0.443 (0.176)","0.934 (0.028)","0.462 (0.203)","0.451 (0.187)","0.385 (0.211)"
"16","0.54 (0.213)","0.936 (0.041)","0.54 (0.263)","0.538 (0.236)","0.479 (0.269)"
